<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	09:00:00	106395	106650	106230	106430	593273	1731757	5
2022.01.03	10:00:00	106430	107245	106225	106690	973700	3138280	5
2022.01.03	11:00:00	106690	106695	104360	104780	1074136	3806456	5
2022.01.03	12:00:00	104780	105325	104685	105235	527266	1803403	5
2022.01.03	13:00:00	105230	105470	104955	105360	435912	1521065	5
2022.01.03	14:00:00	105360	105440	105185	105310	343763	1210172	5
2022.01.03	15:00:00	105315	105410	105160	105325	263808	954009	5
2022.01.03	16:00:00	105325	105445	105220	105270	273872	1025839	5
2022.01.03	17:00:00	105270	105295	104875	104965	309099	1118881	5
2022.01.03	18:00:00	104965	105015	104705	104760	81181	248990	5
2022.01.04	09:00:00	105440	105785	105235	105695	730333	2243144	5
2022.01.04	10:00:00	105695	105715	104390	104740	1153303	3724874	5
2022.01.04	11:00:00	104745	104885	104040	104455	862329	2866173	5
2022.01.04	12:00:00	104450	105310	104380	104950	620217	2083497	5
2022.01.04	13:00:00	104955	104975	104545	104880	506875	1677334	5
2022.01.04	14:00:00	104885	104965	104660	104760	411173	1444765	5
2022.01.04	15:00:00	104760	104890	104295	104480	427479	1491810	5
2022.01.04	16:00:00	104485	104710	104200	104365	321947	1219062	5
2022.01.04	17:00:00	104365	104535	104255	104440	202595	757300	5
2022.01.04	18:00:00	104440	104475	104260	104435	62818	203211	5
2022.01.05	09:00:00	104570	104695	103790	104060	697526	2169467	5
2022.01.05	10:00:00	104055	104175	103360	103700	1052887	3482851	5
2022.01.05	11:00:00	103695	104285	103330	104260	909539	3186400	5
2022.01.05	12:00:00	104260	104465	103725	104150	668290	2377197	5
2022.01.05	13:00:00	104155	104225	103520	103715	497935	1802157	5
2022.01.05	14:00:00	103715	103840	102975	102990	516098	1909248	5
2022.01.05	15:00:00	102990	103075	102735	102805	374317	1356603	5
2022.01.05	16:00:00	102810	102995	102065	102215	612679	2323102	5
2022.01.05	17:00:00	102210	102240	101725	101895	456211	1726262	5
2022.01.05	18:00:00	101895	101920	101580	101580	87143	346519	5
2022.01.06	09:00:00	101975	102400	101645	102370	775531	2284995	5
2022.01.06	10:00:00	102375	102575	101900	102395	1104226	3535555	5
2022.01.06	11:00:00	102400	102970	102160	102525	971187	3218191	5
2022.01.06	12:00:00	102530	103180	102215	102935	838126	2758895	5
2022.01.06	13:00:00	102935	103130	102540	102780	585144	1946490	5
2022.01.06	14:00:00	102775	103015	102655	102740	491799	1654524	5
2022.01.06	15:00:00	102735	102760	102315	102605	478101	1628529	5
2022.01.06	16:00:00	102605	102700	102185	102260	389564	1375799	5
2022.01.06	17:00:00	102260	102375	102115	102240	312477	1146610	5
2022.01.06	18:00:00	102240	102600	102225	102600	73493	267188	5
2022.01.07	09:00:00	102385	102720	102315	102595	590440	1778609	5
2022.01.07	10:00:00	102595	102675	101855	102590	1197095	3944895	5
2022.01.07	11:00:00	102585	103265	102510	103220	905724	3204759	5
2022.01.07	12:00:00	103215	103230	102335	102455	653952	2402296	5
2022.01.07	13:00:00	102450	103010	102255	102925	537559	1980688	5
