<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	09:00:00	135250	135265	134885	134925	70291	189387	5
2024.01.02	09:05:00	134925	134930	134755	134775	35632	123662	5
2024.01.02	09:10:00	134780	134820	134755	134805	17202	55540	5
2024.01.02	09:15:00	134805	134820	134775	134805	12510	40374	5
2024.01.02	09:20:00	134805	134945	134795	134930	26604	93821	5
2024.01.02	09:25:00	134930	135080	134910	135050	36002	124909	5
2024.01.02	09:30:00	135050	135095	135000	135080	25469	83643	5
2024.01.02	09:35:00	135075	135115	135060	135095	16005	55628	5
2024.01.02	09:40:00	135095	135115	135050	135060	16816	60102	5
2024.01.02	09:45:00	135065	135130	135060	135110	16772	52470	5
2024.01.02	09:50:00	135110	135125	135075	135125	12851	41672	5
2024.01.02	09:55:00	135120	135180	135055	135090	34372	113685	5
2024.01.02	10:00:00	135095	135100	134980	135065	45026	159056	5
2024.01.02	10:05:00	135070	135205	135025	135165	41974	149233	5
2024.01.02	10:10:00	135165	135190	134985	134985	42786	146289	5
2024.01.02	10:15:00	134990	135115	134950	135005	50815	174105	5
2024.01.02	10:20:00	135005	135015	134870	134980	51752	177446	5
2024.01.02	10:25:00	134980	135080	134660	134690	81449	292363	5
2024.01.02	10:30:00	134690	134810	134595	134795	74618	260207	5
2024.01.02	10:35:00	134800	135080	134785	135080	71204	261971	5
2024.01.02	10:40:00	135075	135150	135010	135070	45019	156687	5
2024.01.02	10:45:00	135070	135075	134910	134975	35719	122832	5
2024.01.02	10:50:00	134970	135020	134910	134995	23281	80255	5
2024.01.02	10:55:00	135000	135000	134835	134870	33344	112687	5
2024.01.02	11:00:00	134875	135010	134845	134975	39773	136456	5
2024.01.02	11:05:00	134975	135080	134930	135045	30657	105318	5
2024.01.02	11:10:00	135040	135095	135005	135020	23415	80488	5
2024.01.02	11:15:00	135015	135030	134940	134975	25466	86741	5
2024.01.02	11:20:00	134975	134985	134890	134940	25735	91543	5
2024.01.02	11:25:00	134940	134965	134875	134910	19183	66195	5
2024.01.02	11:30:00	134905	135090	134820	135090	90648	319604	5
2024.01.02	11:35:00	135090	135350	135065	135130	100409	365230	5
2024.01.02	11:40:00	135130	135180	134905	134950	71621	248209	5
2024.01.02	11:45:00	134950	135155	134905	134945	63841	221060	5
2024.01.02	11:50:00	134945	135325	134920	135100	77286	266430	5
2024.01.02	11:55:00	135100	135280	135100	135270	41128	144968	5
2024.01.02	12:00:00	135270	135295	135090	135145	47738	165838	5
2024.01.02	12:05:00	135145	135260	134990	135055	54187	181384	5
2024.01.02	12:10:00	135050	135080	134850	134895	48791	168863	5
2024.01.02	12:15:00	134895	134920	134715	134720	47819	177207	5
2024.01.02	12:20:00	134725	134790	134705	134785	33748	129437	5
2024.01.02	12:25:00	134780	134835	134460	134575	67996	257990	5
2024.01.02	12:30:00	134570	134690	134530	134590	36092	125631	5
2024.01.02	12:35:00	134590	134620	134440	134530	42886	156560	5
2024.01.02	12:40:00	134530	134640	134510	134585	29635	101563	5
2024.01.02	12:45:00	134580	134650	134520	134530	24819	84505	5
2024.01.02	12:50:00	134535	134570	134455	134485	22987	82145	5
2024.01.02	12:55:00	134485	134545	134470	134510	18858	64597	5
2024.01.02	13:00:00	134505	134600	134490	134595	24083	84008	5
2024.01.02	13:05:00	134590	134685	134555	134675	29826	110592	5
2024.01.02	13:10:00	134675	134775	134640	134735	41033	149257	5
2024.01.02	13:15:00	134730	134775	134680	134740	19529	68690	5
2024.01.02	13:20:00	134740	134770	134665	134710	19321	62765	5
2024.01.02	13:25:00	134710	134785	134700	134730	17146	61269	5
2024.01.02	13:30:00	134730	134735	134620	134625	22348	80848	5
2024.01.02	13:35:00	134625	134625	134375	134410	43329	170754	5
2024.01.02	13:40:00	134405	134465	134340	134465	31998	121794	5
2024.01.02	13:45:00	134460	134595	134430	134585	30861	110215	5
2024.01.02	13:50:00	134580	134650	134570	134595	18730	69232	5
2024.01.02	13:55:00	134595	134680	134560	134665	21102	74168	5
2024.01.02	14:00:00	134665	134715	134640	134660	17683	66204	5
2024.01.02	14:05:00	134665	134690	134645	134690	9211	32841	5
2024.01.02	14:10:00	134690	134855	134680	134825	31818	116834	5
2024.01.02	14:15:00	134830	134845	134770	134835	19148	68957	5
2024.01.02	14:20:00	134830	134960	134830	134870	34287	134979	5
2024.01.02	14:25:00	134870	134910	134740	134750	30174	121905	5
2024.01.02	14:30:00	134750	134820	134725	134785	21916	81702	5
2024.01.02	14:35:00	134785	134865	134780	134845	18235	65629	5
2024.01.02	14:40:00	134845	134925	134845	134890	20507	79976	5
2024.01.02	14:45:00	134885	134900	134825	134860	17950	66920	5
2024.01.02	14:50:00	134865	134870	134740	134765	23328	94300	5
2024.01.02	14:55:00	134760	134770	134630	134640	28345	112322	5
2024.01.02	15:00:00	134640	134660	134315	134360	49095	199938	5
2024.01.02	15:05:00	134360	134375	134055	134145	57947	254072	5
2024.01.02	15:10:00	134140	134290	134115	134260	35376	145132	5
2024.01.02	15:15:00	134260	134340	134220	134325	25718	106751	5
2024.01.02	15:20:00	134320	134385	134305	134355	19048	79731	5
2024.01.02	15:25:00	134355	134450	134340	134385	22954	97219	5
2024.01.02	15:30:00	134380	134410	134320	134370	24249	95792	5
2024.01.02	15:35:00	134365	134405	134145	134150	38805	158347	5
2024.01.02	15:40:00	134145	134175	134010	134045	40934	169210	5
2024.01.02	15:45:00	134045	134075	133955	133985	32886	135097	5
2024.01.02	15:50:00	133990	134000	133910	133945	21112	87932	5
2024.01.02	15:55:00	133945	134005	133815	133845	38239	164348	5
2024.01.02	16:00:00	133845	133880	133715	133760	38400	174012	5
2024.01.02	16:05:00	133760	133780	133550	133640	42293	188233	5
2024.01.02	16:10:00	133635	133815	133630	133790	31432	138502	5
2024.01.02	16:15:00	133790	133835	133735	133760	21018	92696	5
2024.01.02	16:20:00	133755	133865	133745	133830	21984	92724	5
2024.01.02	16:25:00	133825	133860	133805	133815	12000	50184	5
2024.01.02	16:30:00	133815	133855	133700	133730	26132	106297	5
2024.01.02	16:35:00	133725	133775	133675	133685	20262	88820	5
2024.01.02	16:40:00	133685	133760	133665	133715	18410	82425	5
2024.01.02	16:45:00	133710	133735	133650	133660	14826	61018	5
2024.01.02	16:50:00	133665	133690	133630	133655	15373	69009	5
2024.01.02	16:55:00	133660	133755	133660	133735	19927	85346	5
2024.01.02	17:00:00	133735	133860	133730	133795	24385	106957	5
2024.01.02	17:05:00	133795	133865	133770	133830	16102	71465	5
2024.01.02	17:10:00	133830	133850	133770	133830	15510	63102	5
2024.01.02	17:15:00	133830	133910	133800	133885	19383	79187	5
2024.01.02	17:20:00	133880	133905	133810	133860	16865	65735	5
2024.01.02	17:25:00	133860	133865	133795	133820	14204	58164	5
2024.01.02	17:30:00	133820	133960	133810	133925	22894	98286	5
2024.01.02	17:35:00	133930	133985	133910	133965	14648	60589	5
2024.01.02	17:40:00	133960	133985	133920	133965	14649	58405	5
2024.01.02	17:45:00	133965	134020	133960	133990	15203	66785	5
2024.01.02	17:50:00	133990	134185	133990	134160	30321	138816	5
2024.01.02	17:55:00	134155	134295	134155	134225	26177	117284	5
2024.01.02	18:00:00	134225	134265	134190	134230	14216	58774	5
2024.01.02	18:05:00	134225	134235	134170	134195	10228	42488	5
2024.01.02	18:10:00	134195	134200	134155	134175	11487	46594	5
2024.01.02	18:15:00	134175	134235	134160	134225	9698	41819	5
2024.01.02	18:20:00	134230	134305	134185	134230	9925	45595	5
2024.01.03	09:00:00	133925	134020	133705	133750	87974	214439	5
2024.01.03	09:05:00	133750	133840	133620	133825	53478	163313	5
2024.01.03	09:10:00	133820	133865	133750	133825	37425	109739	5
2024.01.03	09:15:00	133825	133830	133715	133745	31132	91726	5
2024.01.03	09:20:00	133750	133800	133725	133770	19750	57485	5
2024.01.03	09:25:00	133770	133825	133725	133820	24474	77155	5
2024.01.03	09:30:00	133825	133905	133810	133860	33977	108308	5
2024.01.03	09:35:00	133860	133940	133855	133930	22265	72360	5
2024.01.03	09:40:00	133930	133980	133915	133970	19572	67209	5
2024.01.03	09:45:00	133970	134065	133955	134030	30608	108815	5
2024.01.03	09:50:00	134035	134095	134025	134075	20612	72186	5
2024.01.03	09:55:00	134075	134080	133945	133945	37493	125769	5
2024.01.03	10:00:00	133945	134045	133920	133935	45493	158766	5
2024.01.03	10:05:00	133935	133995	133905	133945	29175	97833	5
2024.01.03	10:10:00	133945	134080	133905	134060	45354	163415	5
2024.01.03	10:15:00	134060	134290	134060	134265	74689	285149	5
2024.01.03	10:20:00	134260	134315	134180	134210	47345	167114	5
