<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	106395	107245	104360	104760	4876010	16558852	5
2022.01.04	105440	105785	104040	104435	5299069	17711170	5
2022.01.05	104570	104695	101580	101580	5872625	20679806	5
2022.01.06	101975	103180	101645	102600	6019648	19816776	5
2022.01.07	102385	103720	101855	103410	5308818	18728267	5
2022.01.10	102900	103405	101750	103315	5657825	20817377	5
2022.01.11	103400	104875	102565	104775	4979772	19154744	5
2022.01.12	104800	106740	104375	106740	5064136	19387371	5
2022.01.13	106300	107015	105650	106300	5829582	21190305	5
2022.01.14	106135	107985	105700	107985	5674912	20485106	5
2022.01.17	107660	107855	106715	107000	3843326	14107960	5
2022.01.18	106300	107745	106155	107530	5777585	22539010	5
2022.01.19	107530	109315	107510	108850	5355526	19929823	5
2022.01.20	109400	110515	108800	109850	5000271	18510736	5
2022.01.21	109500	110430	108890	109550	6856994	23576438	5
2022.01.24	108955	109350	107135	109015	8194163	27186985	5
2022.01.25	108475	111340	107625	110805	7029434	24670212	5
2022.01.26	111570	113270	111425	112080	7532199	25278224	5
2022.01.27	112110	113580	112100	112900	7206036	24713337	5
2022.01.28	112640	113480	111890	112440	6812879	22363720	5
2022.01.31	112470	113040	111575	112430	5643509	18306727	5
2022.02.01	112540	113795	112400	113745	5173131	17033707	5
2022.02.02	114000	114135	111765	112030	4814627	16549178	5
2022.02.03	111590	112745	111525	112490	6001672	20192892	5
2022.02.04	112000	112690	110535	112285	5538210	17602809	5
2022.02.07	112350	112640	111655	112320	5634333	18117001	5
2022.02.08	111900	112750	111050	112750	4840208	15908903	5
2022.02.09	113000	113360	111875	112395	5318717	17438058	5
2022.02.10	112500	113985	112245	113495	6164434	19512530	5
2022.02.11	113120	114990	113100	113800	6461530	20210442	5
2022.02.14	113000	114310	112880	113960	6096582	18490020	5
2022.02.15	114500	115135	113980	115135	4405551	13510925	5
2022.02.16	116255	117270	116255	116680	4118034	13658563	5
2022.02.17	116300	116630	114800	114900	4511191	14755035	5
2022.02.18	115355	115815	114060	114160	5174982	16688996	5
2022.02.21	114320	114840	112950	112950	3924414	12266322	5
2022.02.22	113650	114795	113585	114795	5563051	18498273	5
2022.02.23	114700	115110	112925	113010	5172629	17470422	5
2022.02.24	110500	112870	110050	112750	6864202	21701807	5
2022.02.25	112595	114495	111755	114250	5136669	16486518	5
2022.03.02	115250	116670	115125	116605	2508116	8399728	5
2022.03.03	116550	117155	116190	116610	4784862	15576760	5
2022.03.04	115795	116190	114545	115585	5042732	16046084	5
2022.03.07	115140	115630	111815	111815	5180746	17086533	5
2022.03.08	112720	113645	111995	112010	7044978	23234784	5
2022.03.09	113390	115130	112660	114790	5117818	17287476	5
2022.03.10	114150	114650	112775	114600	5472458	17734707	5
2022.03.11	115600	115740	112145	112900	5559408	17524831	5
2022.03.14	112750	113295	110505	110810	5754010	17838410	5
2022.03.15	110880	110945	108570	109690	5515695	18500232	5
2022.03.16	111255	112330	109850	112330	5559978	17934827	5
2022.03.17	112010	113990	111595	113820	5033102	16106524	5
2022.03.18	113110	116095	113060	115875	4032643	13769757	5
2022.03.21	115700	117145	115630	117095	4938908	15850094	5
2022.03.22	117205	118290	116925	118215	3942787	13789322	5
2022.03.23	117750	118935	117605	118220	4232480	14240332	5
2022.03.24	118390	120000	117760	119985	3737317	13108989	5
2022.03.25	119975	120345	119065	119780	4149993	13734144	5
2022.03.28	120000	120235	118565	119400	3902284	13104390	5
2022.03.29	120200	121385	119975	120375	4425842	15226540	5
2022.03.30	120110	121110	120095	120900	4130489	14471738	5
2022.03.31	120805	121330	120210	120485	3771382	13343446	5
2022.04.01	120800	122225	120785	122000	3543284	12754923	5
2022.04.04	122240	122300	121035	121530	3322845	11880114	5
2022.04.05	121445	121945	118800	119225	4599419	15967813	5
2022.04.06	118480	118860	116915	118205	5544941	17486655	5
2022.04.07	118560	119435	117535	118960	4930378	16193864	5
2022.04.08	119290	119290	117515	118330	4073151	14060413	5
2022.04.11	117725	117830	116750	116985	4335109	13711880	5
2022.04.12	117420	118590	116065	116530	4711375	13705994	5
2022.04.13	118820	119460	118295	118985	4189444	13436582	5
2022.04.14	118750	118865	117570	117900	4170971	13038163	5
2022.04.18	117735	118235	117095	117610	4359487	13117156	5
2022.04.19	117415	117460	116110	116950	4003236	13523234	5
2022.04.20	117395	117410	115715	115760	3985467	13198975	5
2022.04.22	114500	114640	112240	112890	4512402	14064818	5
2022.04.25	111335	112860	110825	112400	5275632	16888715	5
2022.04.26	112085	112100	109210	109235	4518914	14773063	5
2022.04.27	110505	111705	110390	111030	5554160	17083235	5
2022.04.28	112105	112270	110325	110905	4786035	15095229	5
2022.04.29	110840	113400	108425	109000	5262374	17738911	5
2022.05.02	108720	109500	106485	108100	5862673	17736369	5
2022.05.03	107950	108520	107315	107820	5605190	16638542	5
2022.05.04	107980	110025	106115	109920	5896387	18381408	5
2022.05.05	109060	109255	105065	106835	6366173	19810732	5
2022.05.06	106150	107530	105065	106330	6787680	18883233	5
2022.05.09	104790	105650	103925	104655	6101716	18120742	5
2022.05.10	105185	105290	103400	104360	6330688	18501826	5
2022.05.11	105275	106420	104075	105605	6530553	19466729	5
2022.05.12	104460	107025	104235	106950	6306130	18460762	5
2022.05.13	108065	108810	107100	107760	4605440	14205571	5
2022.05.16	107575	109800	107575	109300	5207957	15734347	5
2022.05.17	110310	110790	109225	110050	5112463	15685503	5
2022.05.18	109260	109855	106775	106965	5023433	16066159	5
2022.05.19	106580	108270	106500	107860	5642182	17205053	5
2022.05.20	108650	109685	108140	109410	5491129	16371402	5
2022.05.23	110050	111515	109840	111450	4668594	14498524	5
2022.05.24	110200	111530	109125	111365	5738760	17885196	5
2022.05.25	110815	111745	110275	110895	4748851	13938597	5
2022.05.26	111500	112790	110945	112640	3773924	12045858	5
2022.05.27	112300	113080	111960	112470	4009179	12361603	5
2022.05.30	113215	113680	111005	111005	3260464	10255956	5
2022.05.31	111290	112465	111140	111800	5297569	16710064	5
2022.06.01	112175	112440	111170	111885	4880815	15298031	5
2022.06.02	112200	113210	111525	112865	4392298	14091324	5
2022.06.03	112230	112395	111235	111750	4661129	14449880	5
2022.06.06	112565	112735	110255	110690	4251168	13947475	5
2022.06.07	110190	110710	109620	110350	4672190	14861621	5
2022.06.08	110125	110375	108215	108860	4795676	15908196	5
2022.06.09	109175	109445	107160	107705	5589604	17494310	5
2022.06.10	107850	108030	104685	105450	5880931	17349347	5
2022.06.13	103600	104045	101760	102800	6132037	18535975	5
2022.06.14	103000	103400	101290	102070	6083851	18569295	5
2022.06.15	104865	106140	103920	105140	5922166	17702752	5
2022.06.17	103070	103380	100315	101335	6058906	18129940	5
2022.06.20	101455	102290	100175	101750	4748000	13805102	5
2022.06.21	102500	102880	100845	102290	5564249	17508521	5
2022.06.22	100350	102190	99770	100810	5503404	16721660	5
2022.06.23	101485	102015	99200	99200	5770902	17987081	5
2022.06.24	100000	101040	99560	100600	4837680	15306640	5
2022.06.27	101100	102945	100675	102945	4979115	15409637	5
2022.06.28	103410	103895	101470	102110	5631614	17541780	5
2022.06.29	102120	103190	100665	101150	5772818	18561994	5
2022.06.30	100075	100700	99075	99300	6560168	19200777	5
2022.07.01	99235	100730	98560	100710	5769368	17892722	5
2022.07.04	100190	100730	99500	99500	4094686	12425412	5
2022.07.05	99130	99740	97740	99500	6024474	18948794	5
2022.07.06	99135	100440	98625	99955	5901920	18435911	5
2022.07.07	100740	102775	100675	102430	4008725	13491722	5
2022.07.08	102050	102815	101125	101415	5241467	15514990	5
2022.07.11	100530	100720	98945	99185	5060662	16296999	5
2022.07.12	98735	99830	98280	99695	5036672	16312654	5
2022.07.13	99705	100020	98355	98670	5816094	18006112	5
2022.07.14	97835	98120	96435	96850	4740948	15588065	5
2022.07.15	97155	97975	96155	97565	4351552	13768328	5
2022.07.18	98650	99265	97515	97555	4559335	14076657	5
2022.07.19	98180	99540	97905	99365	4510928	14664978	5
2022.07.20	98900	99245	98080	98770	4620730	14483678	5
2022.07.21	98615	99890	97795	99840	4532311	14688329	5
2022.07.22	100050	100485	99045	99955	4201501	13754854	5
2022.07.25	100415	101265	100300	101080	4002629	12802884	5
2022.07.26	100955	101440	100015	100500	3973047	13667366	5
2022.07.27	101025	102550	100615	102550	4022231	12703946	5
