<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	09:00:00	106395	106550	106230	106465	149305	382254	5
2022.01.03	09:15:00	106460	106605	106290	106600	121247	363592	5
2022.01.03	09:30:00	106605	106615	106330	106510	170032	511624	5
2022.01.03	09:45:00	106505	106650	106430	106430	152689	474287	5
2022.01.03	10:00:00	106430	107000	106225	106985	358860	1132313	5
2022.01.03	10:15:00	106985	107245	106925	107090	209326	685816	5
2022.01.03	10:30:00	107095	107210	106960	107095	206381	659267	5
2022.01.03	10:45:00	107090	107095	106680	106690	199133	660884	5
2022.01.03	11:00:00	106690	106695	105830	105870	289039	1038801	5
2022.01.03	11:15:00	105870	106005	105100	105160	262998	928838	5
2022.01.03	11:30:00	105155	105160	104485	104635	305992	1100848	5
2022.01.03	11:45:00	104630	104800	104360	104780	216107	737969	5
2022.01.03	12:00:00	104780	104985	104685	104890	195236	657177	5
2022.01.03	12:15:00	104890	105055	104815	104950	118736	391075	5
2022.01.03	12:30:00	104950	105215	104915	105190	111460	388591	5
2022.01.03	12:45:00	105190	105325	105110	105235	101834	366560	5
2022.01.03	13:00:00	105230	105315	105005	105110	110514	388266	5
2022.01.03	13:15:00	105110	105240	104955	105200	111929	383913	5
2022.01.03	13:30:00	105195	105295	105130	105290	93710	331182	5
2022.01.03	13:45:00	105290	105470	105240	105360	119759	417704	5
2022.01.03	14:00:00	105360	105440	105240	105240	87677	301624	5
2022.01.03	14:15:00	105245	105330	105185	105280	95412	326921	5
2022.01.03	14:30:00	105285	105425	105260	105280	93527	338669	5
2022.01.03	14:45:00	105285	105365	105250	105310	67147	242958	5
2022.01.03	15:00:00	105315	105395	105270	105355	58168	210924	5
2022.01.03	15:15:00	105350	105410	105290	105295	51724	197212	5
2022.01.03	15:30:00	105300	105320	105160	105185	80429	290450	5
2022.01.03	15:45:00	105190	105330	105175	105325	73487	255423	5
2022.01.03	16:00:00	105325	105380	105270	105350	61289	236007	5
2022.01.03	16:15:00	105345	105445	105280	105400	66578	244727	5
2022.01.03	16:30:00	105400	105435	105340	105410	56752	207463	5
2022.01.03	16:45:00	105410	105415	105220	105270	89253	337642	5
2022.01.03	17:00:00	105270	105295	105085	105180	75869	289169	5
2022.01.03	17:15:00	105180	105200	104920	105070	91352	357604	5
2022.01.03	17:30:00	105070	105115	104940	104995	73513	249718	5
2022.01.03	17:45:00	104995	105090	104875	104965	68365	222390	5
2022.01.03	18:00:00	104965	104980	104800	104825	48929	150984	5
2022.01.03	18:15:00	104820	105015	104705	104760	32252	98006	5
2022.01.04	09:00:00	105440	105745	105235	105640	187741	522835	5
2022.01.04	09:15:00	105645	105785	105335	105455	177284	546686	5
2022.01.04	09:30:00	105455	105660	105415	105545	169129	542799	5
2022.01.04	09:45:00	105545	105710	105290	105695	196179	630824	5
2022.01.04	10:00:00	105695	105715	104970	105020	366982	1137355	5
2022.01.04	10:15:00	105020	105155	104775	105070	278393	917265	5
2022.01.04	10:30:00	105075	105160	104480	104520	307599	999271	5
2022.01.04	10:45:00	104515	104750	104390	104740	200329	670983	5
2022.01.04	11:00:00	104745	104885	104250	104485	275141	935930	5
2022.01.04	11:15:00	104485	104520	104040	104165	206930	692069	5
2022.01.04	11:30:00	104170	104420	104040	104210	211400	694474	5
2022.01.04	11:45:00	104205	104555	104180	104455	168858	543700	5
2022.01.04	12:00:00	104450	104675	104380	104640	169529	530452	5
2022.01.04	12:15:00	104640	104945	104470	104890	143621	499542	5
2022.01.04	12:30:00	104890	105155	104850	105075	155480	531760	5
2022.01.04	12:45:00	105075	105310	104920	104950	151587	521743	5
2022.01.04	13:00:00	104955	104975	104630	104855	175723	583434	5
2022.01.04	13:15:00	104850	104900	104545	104665	139851	449334	5
2022.01.04	13:30:00	104665	104720	104565	104640	84816	277698	5
